Date,Open,High,Low,Close,Adj Close,Volume
2016-05-26,38.910000,39.400002,38.470001,39.099998,39.099998,8255700
2016-05-27,39.130001,39.990002,39.070000,39.340000,39.340000,6265400
2016-05-31,39.540001,39.689999,39.130001,39.259998,39.259998,8466700
2016-06-01,39.259998,39.290001,38.509998,38.650002,38.650002,8432100
2016-06-02,38.720001,38.750000,38.209999,38.689999,38.689999,6580900
2016-06-03,38.689999,38.910000,37.630001,37.810001,37.810001,9685200
2016-06-06,37.650002,37.810001,36.830002,37.759998,37.759998,7727300
2016-06-07,37.950001,38.500000,37.939999,38.130001,38.130001,7315900
2016-06-08,38.099998,38.240002,37.540001,38.119999,38.119999,11260500
2016-06-09,37.990002,39.020000,37.950001,38.540001,38.540001,23555700
2016-06-10,38.130001,38.450001,37.529999,37.770000,37.770000,13435000
2016-06-13,37.529999,38.209999,37.360001,37.630001,37.630001,7167100
2016-06-14,37.459999,38.560001,37.240002,38.410000,38.410000,19995500
2016-06-15,38.459999,38.820000,38.020000,38.330002,38.330002,10464800
2016-06-16,38.250000,39.150002,38.000000,39.029999,39.029999,10063900
2016-06-17,39.029999,39.049999,37.830002,38.080002,38.080002,13336300
2016-06-20,38.560001,38.959999,38.360001,38.689999,38.689999,9354200
2016-06-21,38.750000,39.230000,38.560001,38.660000,38.660000,7156100
2016-06-22,38.740002,38.889999,38.209999,38.320000,38.320000,4725000
2016-06-23,38.660000,39.060001,38.400002,38.919998,38.919998,5674100
2016-06-24,37.500000,38.049999,36.820000,36.980000,36.980000,23589200
2016-06-27,36.599998,36.660000,35.770000,36.150002,36.150002,9337000
2016-06-28,36.660000,37.220001,36.400002,37.180000,37.180000,6306600
2016-06-29,37.810001,38.250000,37.500000,38.020000,38.020000,7641400
2016-06-30,38.230000,39.980000,38.139999,39.630001,39.630001,15053000
2016-07-01,39.689999,40.709999,39.419998,39.610001,39.610001,8179300
2016-07-05,39.400002,40.150002,39.279999,40.150002,40.150002,7336700
2016-07-06,39.779999,40.590000,39.529999,40.509998,40.509998,9232700
2016-07-07,40.520000,40.770000,40.139999,40.389999,40.389999,6272900
2016-07-08,40.639999,41.320000,40.419998,41.290001,41.290001,6617400
2016-07-11,41.439999,42.259998,41.169998,42.200001,42.200001,14715600
2016-07-12,42.410000,42.750000,41.880001,42.660000,42.660000,10540400
2016-07-13,42.790001,43.049999,42.049999,42.110001,42.110001,11462100
2016-07-14,42.360001,42.529999,41.660000,41.849998,41.849998,9624800
2016-07-15,41.959999,42.230000,41.750000,42.200001,42.200001,5083100
2016-07-18,42.400002,42.439999,42.049999,42.139999,42.139999,5927700
2016-07-19,42.000000,42.070000,41.400002,41.520000,41.520000,9314000
2016-07-20,41.680000,41.709999,41.220001,41.380001,41.380001,5973700
2016-07-21,41.410000,41.820000,41.060001,41.270000,41.270000,6440300
2016-07-22,41.349998,41.680000,40.930000,41.439999,41.439999,4454500
2016-07-25,41.959999,42.630001,41.599998,42.400002,42.400002,9409800
2016-07-26,42.400002,42.669998,41.189999,41.560001,41.560001,8253700
2016-07-27,41.520000,41.639999,40.790001,40.889999,40.889999,13737800
2016-07-28,40.290001,40.639999,40.049999,40.270000,40.270000,11112000
2016-07-29,40.299999,40.880001,39.730000,40.160000,40.160000,13731000
2016-08-01,40.389999,40.520000,39.970001,40.070000,40.070000,6581700
2016-08-02,40.070000,40.240002,39.529999,39.750000,39.750000,6676600
2016-08-03,39.639999,40.750000,39.630001,40.380001,40.380001,8760400
2016-08-04,40.939999,41.110001,40.529999,40.830002,40.830002,10976800
2016-08-05,42.250000,42.450001,40.009998,40.560001,40.560001,20866600
2016-08-08,40.730000,40.910000,40.450001,40.610001,40.610001,8080200
2016-08-09,40.520000,41.529999,40.450001,41.250000,41.250000,8535300
2016-08-10,41.139999,41.509998,41.000000,41.099998,41.099998,5463500
2016-08-11,41.139999,41.709999,41.139999,41.310001,41.310001,6542400
2016-08-12,41.139999,41.299999,40.830002,41.139999,41.139999,6413900
2016-08-15,41.610001,41.990002,41.270000,41.480000,41.480000,5800000
2016-08-16,40.250000,40.750000,39.290001,39.310001,39.310001,26068600
2016-08-17,39.549999,39.959999,39.340000,39.880001,39.880001,11513500
2016-08-18,39.990002,40.320000,39.840000,40.020000,40.020000,7273100
2016-08-19,40.130001,40.290001,39.779999,39.980000,39.980000,6064300
2016-08-22,39.990002,40.169998,39.810001,40.119999,40.119999,4581900
2016-08-23,40.230000,40.720001,40.230000,40.639999,40.639999,6391000
2016-08-24,40.680000,40.750000,40.439999,40.669998,40.669998,5037800
