Date,Open,High,Low,Close,Adj Close,Volume
2016-05-26,70.680000,70.949997,70.349998,70.489998,70.489998,6419500
2016-05-27,70.540001,70.809998,70.309998,70.589996,70.589996,2326600
2016-05-31,70.760002,70.959999,70.099998,70.410004,70.410004,3567400
2016-06-01,70.410004,71.220001,70.169998,71.199997,71.199997,3017800
2016-06-02,71.019997,71.419998,70.870003,71.419998,71.419998,2241500
2016-06-03,71.419998,71.790001,71.250000,71.599998,71.599998,2288900
2016-06-06,71.599998,72.070000,71.410004,71.839996,71.839996,2287900
2016-06-07,71.900002,72.019997,71.470001,71.589996,71.589996,2103300
2016-06-08,71.459999,72.099998,71.349998,72.000000,72.000000,1907000
2016-06-09,71.849998,72.410004,71.739998,72.339996,72.339996,1943200
2016-06-10,72.000000,72.230003,71.739998,72.120003,72.120003,2232300
2016-06-13,72.150002,72.449997,71.660004,71.669998,71.669998,2887000
2016-06-14,71.480003,72.169998,71.220001,72.089996,72.089996,2485000
2016-06-15,72.190002,72.290001,71.620003,71.720001,71.720001,2152900
2016-06-16,71.559998,72.070000,71.360001,72.000000,72.000000,2161200
2016-06-17,71.870003,72.080002,70.970001,71.440002,71.440002,4064400
2016-06-20,71.900002,72.400002,71.610001,71.639999,71.639999,2557400
2016-06-21,72.029999,72.139999,71.730003,71.800003,71.800003,3072000
2016-06-22,71.980003,72.500000,71.879997,72.250000,72.250000,3564600
2016-06-23,72.639999,72.730003,72.339996,72.669998,72.669998,2015300
2016-06-24,71.110001,71.800003,70.150002,70.580002,70.580002,11070000
2016-06-27,70.139999,70.230003,69.709999,69.989998,69.989998,3421800
2016-06-28,70.370003,71.150002,70.029999,71.129997,71.129997,2878600
2016-06-29,71.360001,71.930000,71.320000,71.860001,71.860001,2264100
2016-06-30,71.900002,73.199997,71.860001,73.199997,73.199997,3798800
2016-07-01,73.199997,73.419998,72.860001,72.949997,72.949997,2652600
2016-07-05,72.690002,73.690002,72.629997,73.279999,73.279999,3128000
2016-07-06,73.320000,73.449997,72.779999,73.279999,73.279999,2568600
2016-07-07,73.279999,73.709999,73.080002,73.400002,73.400002,2782200
2016-07-08,73.769997,74.269997,73.419998,74.250000,74.250000,2921200
2016-07-11,74.050003,74.580002,73.720001,74.489998,74.489998,3040700
2016-07-12,74.260002,74.400002,73.720001,73.949997,73.949997,3909900
2016-07-13,74.180000,74.500000,73.889999,74.470001,74.470001,2648300
2016-07-14,74.489998,75.330002,74.330002,74.709999,74.709999,5222200
2016-07-15,74.940002,75.290001,74.500000,74.720001,74.720001,4633500
2016-07-18,74.779999,74.919998,74.440002,74.500000,74.500000,2675800
2016-07-19,74.209999,74.559998,74.089996,74.559998,74.559998,3396500
2016-07-20,74.269997,74.510002,74.089996,74.120003,74.120003,2961800
2016-07-21,73.879997,74.089996,73.610001,73.870003,73.870003,2618300
2016-07-22,74.120003,74.620003,73.940002,74.610001,74.610001,3407200
2016-07-25,74.400002,74.570000,73.989998,74.230003,74.230003,1856700
2016-07-26,74.040001,74.639999,73.800003,73.980003,73.980003,2145600
2016-07-27,74.169998,74.169998,72.910004,73.279999,73.279999,3291700
